aff, AFF
thangolytical, thang-guh-LIHT-uh-kul
avemile, uh-VEE-myle
aderifying, uh-DER-uh-fye-ing
ambitraspuible, am-buh-TRAS-pyoo-ih-bul
frizing, FRYE-zing
anticreical, an-tuh-KREE-uh-kul
autoscubrepathy, aw-tuh-skyoo-BREH-pu-thee
zirth, ZERTH
bisition, bye-SISH-un
centitey, cen-tuh-TAY
circumcluxtivity, ser-kum-klux-TIH-vuh-tee
tolpally, TAHL-pul-ee
cosescue, koh-SESS-kyoo
commelg, kah-MELG
contranihating, kahn-truh-NYE-huh-ting
baulologize, baw-LAHL-uh-jyze
descrisplitant, duh-SKRISS-PLIT-unt
decalipionize, deh-kuh-LIPP-yuh-nyze
decaesbicalize, deh-kuh-ESS-buh-kuh-lyze
dimaupstrally, dye-MAWP-strul-ee
dialist, dye-AL-ust
theinolytic, thee-nuh-LITT-uk
dislunsify, dis-LUN-suh-fye
downsmowd, DOWN-smowd
dysleiprologize, dis-lee-PRAHL-uh-jyze
dwalper, DWAL-per
endosmumbologize, en-duh-mum-BAHL-uh-jyze
enneatrelolytical, en-ee-uh-tree-luh-LIT-uh-kul
epideutophobic, ep-uh-dyoo-tuh-FOH-buk
euscauzosis, yoo-skaw-ZOH-suss
ecquanibility, ek-wayn-uh-BILL-uh-tee
extraraxy, eks-truh-RAX-ee
forewf, for-YOOF
beeb, BEEB
gigatheubicalize, gig-uh-THOO-buh-kuh-lyze
hectoscugitely, hek-tuh-SKOO-jut-lee
hemiucraphilia, hem-uh-yoo-kruh-PHILL-ee-uh
igleically, uh-GLEE-uh-kul-ee
heterohuschism, het-er-uh-HYOO-skiz-um
hexazisis, HEX-uh-ZYE-suss
pnyrcia, NER-shuh
nytrometrical, nyte-ruh-MET-ruh-kul
cnausophobia, naw-suh-FOH-bee-uh
mizitely, muh-ZYTE-lee
inunionize, un-YOON-yun-yze
elbally, ELL-bul-ee
interlaustaltitating, in-ter-laws-TAL-tuh-TAYT-ing
fettilbism, FET-ul-biz-um
pnaubologize, naw-BAHL-uh-jyze
kilognyitis, kil-uh-NYE-uh-tuss
macrosceutically, mak-ruh-SOOT-uh-kul-ee
megapheudics, meg-uh-FYOO-dux
microscleipologize, myke-ruh-sklee-PAHL-uh-jyze
letch, LETCH
millijesputate, mil-uh-JESS-pyuh-tayt
misgnawg, mis-NAWG
monoxerchlics, mahn-uh-ZERK-lux
cuxal, KUX-ul
nanopeilologize, nan-uh-pee-LAHL-uh-jyze
neophliscalogize, nee-uh-fliss-CAL-uh-jyze
sibbedly, SIBBED-lee
radism, RAYD-iz-um
obvausuibility, ub-vaw-syoo-ee-BILL-uh-tee
octopryprometrical, ahk-tuh-prye-pruh-MET-ruh-kul
glermescence, gler-MESS-uns
epsopathical, ep-suh-PATH-uh-kul
